IDCONTAINER,DESTINATION,DATEARRIVEE,EMPLACEMENT,ETAT
NULL,NULL,NULL,"1;1","1"
"Cont0002","Paris","20/10/2015","1;2","2"
"Cont0003","Wandre","21/10/2015","1;3","2"
"Cont0004","Verviers","20/10/2015","1;4","2"
"Cont0005","Rome","24/10/2015","1;5","2"
"Cont0006","Anvers","25/10/2015","2;1","2"
"Cont0007","Lourdes","18/10/2015","2;2","2"
"Cont0008","Paris","10/10/2015","2;3","2"
"Cont0009","Lourdes","19/10/2015","2;4","2"
"Cont00010","Wandre","15/10/2015","2;5","2"
"Cont00011","Oupeye","16/10/2015","3;1","2"
"Cont00012","Verviers","20/10/2015","3;2","2"
"Cont0001","Paris","24/10/2015","3;3","2"
"COUCOU",NULL,NULL,"3;4","2"
NULL,NULL,NULL,"3;5","1"
NULL,NULL,NULL,"4;1","1"
NULL,NULL,NULL,"4;2","1"
NULL,NULL,NULL,"4;3","1"
NULL,NULL,NULL,"4;4","1"
"OUIIIII",NULL,NULL,"4;5","2"
NULL,NULL,NULL,"5;1","1"
NULL,NULL,NULL,"5;2","1"
NULL,NULL,NULL,"5;3","1"
NULL,NULL,NULL,"5;4","1"
NULL,NULL,NULL,"5;5","0"
